Simple Test Set|TST
TST common 1|white|common
TST common 2|white|common
TST common 3|blue|common
TST common 4|blue|common
TST common 5|black|common
TST common 6|black|common
TST common 7|red|common
TST common 8|red|common
TST common 9|green|common
TST common 10|green|common
TST common 11|colorless|common
TST uncommon 1|white|uncommon
TST uncommon 2|blue|uncommon
TST uncommon 3|black|uncommon
TST uncommon 4|red|uncommon
TST uncommon 5|green|uncommon
TST uncommon 6|white/blue|uncommon
TST uncommon 7|blue/black/red|uncommon
TST uncommon 8|red/green|uncommon
TST rare 1|white|rare
TST rare 2|blue|rare
TST rare 3|black|rare
TST rare 4|red|rare
TST rare 5|green|rare
TST mythic 1|colorless|mythic
TST mythic 2|green/white|mythic
TST mythic 3|white/blue/bleck/red/green|mythic
